,T_in (K),P_in (Pa),Conversion,F_in (mol/s),Heat Duty (W),F_out (mol/s),T_out (K),H2,H2O,CO2,CO,CH4
0,631.8126924892404,820266.7203447033,0.8516941706132561,309,19318453.324249096,436.7633952211884,1044.2896804124816,0.502814238646965,0.32545392536706624,0.06406137958253816,0.08220372241036594,0.02546673399306471
1,536.5039749606692,885961.1000030618,0.889878924084679,309,21630565.246751502,442.49110824190177,1070.7266634504754,0.5132846833295754,0.3172064195293877,0.06079478197410085,0.09004915096807592,0.01866496419886023
2,632.2489763908615,1073849.4739010218,0.6041102430445755,309,13952696.093335357,399.62580608588627,970.1975235714523,0.4099311986464372,0.4023777698672732,0.0698010003083024,0.04359119631927055,0.07429883485871679
3,673.0297865527247,1134747.3001597805,0.5893023210041406,309,13165571.41054905,397.40461777982114,968.877986088619,0.4030838622328181,0.4081760567589723,0.06943645026592,0.04179490400234202,0.07750872673994755
4,669.2087463822725,1051953.3816901098,0.8326111049056855,309,18737755.941209294,433.9009353650528,1055.923405610107,0.49458473159689215,0.3325505114057642,0.06283295755158604,0.0810985427762107,0.02893325666954698
5,692.0362751616274,1041545.4686757368,0.5323588696345498,309,11541092.61573452,388.86310007438243,941.7536621705016,0.3777506927875481,0.4293634825135987,0.06972263446866453,0.03296927681773099,0.09019391341245782
6,549.3797480594098,996276.6536032084,0.6541456662370192,309,16014291.055802906,407.13111956475285,982.5549280431305,0.4313354694693397,0.3844335146530579,0.06982349499616174,0.05069567527269922,0.0637118456087414
7,527.1040235035425,1171562.3930283217,0.7298131414451079,309,18246046.939173672,418.48124084596617,1022.6462937109974,0.45882141952602834,0.3619443103758094,0.06643117404405545,0.06438034154627538,0.04842275450783145
8,544.7946024505338,1183929.0448026836,0.5165281258707277,309,13233462.90343096,386.4884885098091,944.8246058170595,0.36929736788135453,0.43663170379163974,0.06859286625694433,0.031657957105214365,0.09382010496484719
9,503.23364341863106,984938.7681789709,0.8735413606450313,309,21767430.05746569,440.0404737259547,1070.5976659989194,0.5076081410831547,0.3219389478068736,0.06095194039117906,0.08794750344039569,0.02155346727839694
10,601.213553037128,1157179.0770782384,0.9306186644853149,309,22476718.9045632,448.60206930199735,1123.2608701873949,0.5216742747898245,0.3111259174395471,0.05491494879073771,0.10068526878696539,0.011599590192925125
11,696.464009976722,861500.7959117648,0.6806236823184296,309,14533246.814733576,411.10282197696444,981.1435122219998,0.44304891567180626,0.3744999413462493,0.07053790301272098,0.05364746667453186,0.058265773294691604
12,524.4019835423397,1024674.4125599934,0.7861435105926854,309,19397416.660065692,426.9307962181028,1033.8653614059992,0.47971971151051174,0.34459331435403107,0.06540832556637916,0.0727099445832575,0.03756870398582059
13,640.1008572140269,936594.3030442588,0.9622388566522685,309,22770619.252106022,453.34509812704033,1138.3265513511387,0.5306189815952975,0.3039305038569944,0.053049589886357426,0.10615383880384287,0.006247085857507699
14,512.873645589602,857748.0731581805,0.541572125444285,309,13770162.704094581,390.2450884458427,931.6246145944372,0.38344730339606675,0.4243499451189286,0.0711980737894917,0.032900838314456754,0.08810383938105627
15,607.9311170259149,965381.7250022358,0.6634543003968878,309,15447762.308086405,408.5274146887332,983.5202092125036,0.43532213070545245,0.38107653176876854,0.06991894790305063,0.051897239929738784,0.061785149692989594
