,Component,R2-ALAMO,R2-NN
0,HeatDuty,0.9527422068371296,0.9664845040452229
1,Fout,0.9689292351125738,0.9795324780086032
2,Tout,0.8963867025820456,0.9249824795043227
3,H2,0.9567670802769007,0.9609773968910628
4,CO,0.8991612012803684,0.9353506881417427
5,H2O,0.931697302339502,0.9489097292052382
6,CO2,0.9367613121473934,0.9585782231677791
7,CH4,0.9957942356479008,0.997191363100557
8,C2H6,0.8508320029384925,0.9671136852232202
9,C3H8,0.1697824089631993,0.8170178606639278
10,N2,0.9666218755302758,0.9742350378669292
11,Ar,0.9676496159432978,0.9751984679282643
