,X,P,Termination,Time,Objective,Steam,Bypass Frac,CH4 Feed
0,0.9,1447379.0,optimal,1.3427605420000006,0.40932774509433567,349.8633796663303,0.3648362839059403,1249.999920531083
1,0.9,1517379.0,maxIterations,3.915235333,0.33924255353321014,336.43824952030513,0.4458062914147045,1243.6692314588213
2,0.9,1587379.0,optimal,1.0440984160000006,0.4117772498355517,349.8633884357925,0.3599398038139822,1249.9999172346213
3,0.9,1657379.0,optimal,1.8793829160000008,0.4128838972142998,349.8633919563176,0.3577077254884532,1249.9999157317582
4,0.9,1727379.0,maxIterations,3.515312667,0.2941146410961243,338.2032226091765,0.5011463001903054,1244.0785537119048
5,0.9,1797379.0,optimal,1.099540042000001,0.4149035212712304,349.8633977571769,0.3535993988139309,1249.999912972052
6,0.9,1867379.0,maxIterations,4.794656000000003,0.15375341001029869,348.5055866621258,0.496512099216841,1249.3988554394516
7,0.9,1937379.0,maxIterations,3.8817412499999975,0.43844144716757644,338.69480916442944,0.6263494830416191,1238.6050772006588
8,0.91,1447379.0,maxIterations,4.396116165999999,0.2677932319060904,287.1969905919154,0.5731112043716666,1228.060368697749
9,0.91,1517379.0,optimal,1.0638912500000046,0.4082742465451193,349.8633795650358,0.3731484387405076,1249.999921018462
10,0.91,1587379.0,optimal,1.1487667500000072,0.4095029912228489,349.86338402193,0.3707395072403482,1249.999919455187
11,0.91,1657379.0,maxIterations,4.289092124999996,0.11748385328984993,200.06426290735357,0.6978285281517448,1249.9931708866886
12,0.91,1727379.0,optimal,1.145589875000013,0.41173408386902216,349.863391255505,0.3663307231764278,1249.9999165986255
13,0.91,1797379.0,maxIterations,3.4581854169999957,0.1536674806549643,349.8181383945029,0.5783015031691092,1249.9881472691548
14,0.91,1867379.0,maxIterations,3.5566220000000044,0.14734619898639675,349.7867609210968,0.5621162904780154,1249.9902508350683
15,0.91,1937379.0,optimal,1.0923409580000083,0.4146281217734346,349.86339920096987,0.36053843128599816,1249.9999128722668
16,0.92,1447379.0,maxIterations,3.9013320000000107,0.15292318300170335,280.71564503011984,0.4762646546084578,1237.4553086296046
17,0.92,1517379.0,optimal,1.1436651669999947,0.40577002194099965,349.86337382676754,0.3839293416866437,1249.9999230457024
18,0.92,1587379.0,optimal,1.0960813749999971,0.40704586106021357,349.86337873904887,0.38147545016389367,1249.999921514382
