,Fin_CH4,Tin_CH4,Fin_H2O,Conversion,HeatDuty,Fout,Tout,H2,CO,H2O,CO2,CH4,C2H6,C3H8,C4H10,N2,O2,Ar
60,806.9406439,860.3072234,200.5667319,0.921165595,101945996.5,3610.670067,1226.852261,0.47425895,0.216388732,0.000642953,0.00019925,0.016402881,5.57E-07,6.08E-11,6.18E-15,0.288638012,1.00E-20,0.003468664
296,745.5196138,716.8264997,313.7449002,0.997656372,107818049.9,3650.849199,1219.14072,0.472908428,0.204777778,0.025571297,0.007674306,0.000445558,3.93E-10,1.12E-15,1.00E-20,0.28519228,7.55E-19,0.003430353
681,799.9842943,610.3291682,246.1367244,0.991900062,119139827,3677.070976,1218.424703,0.485775814,0.214347541,0.007136787,0.002186703,0.001640634,6.46E-09,3.38E-12,0.002110993,0.283395502,1.00E-20,0.00340602
500,778.6535635,637.41196,310.9870495,0.995892209,119434890.4,3746.912907,1213.420189,0.484382442,0.210477707,0.017599248,0.005381381,0.000794748,1.18E-09,5.67E-15,2.54E-20,0.278021981,2.71E-19,0.003342493
204,832.2266967,821.1533825,311.5990903,0.988959259,123605071.8,3900.52188,1212.611842,0.499701572,0.217975896,0.007361144,0.00226446,0.002193147,8.65E-09,1.11E-13,1.32E-18,0.267292775,4.30E-20,0.003210997
331,879.9674138,662.4927706,309.8289814,0.988659684,135320532.8,3943.995371,1209.393563,0.501870934,0.215393022,0.007284959,0.002224022,0.002355624,9.74E-09,7.29E-12,0.003155546,0.264540161,1.00E-20,0.003175724
703,880.4073836,814.3310193,311.7666646,0.960730146,130648369.9,4001.04825,1207.342878,0.504402215,0.22062653,0.002304963,0.000721142,0.008044883,1.12E-07,5.05E-12,2.13E-16,0.260769715,1.00E-20,0.003130441
463,747.0601192,813.2232311,247.5251813,0.992991779,99434141.33,3582.859004,1202.97714,0.47651101,0.212158865,0.011996954,0.003866179,0.001360455,3.29E-09,2.60E-14,1.91E-19,0.290611098,8.46E-20,0.003495435
1060,686.3557988,831.1230782,282.8030158,0.997772344,83651165.22,3439.035611,1199.918267,0.452542856,0.19710007,0.033249627,0.010569795,0.000413915,3.14E-10,7.82E-16,1.00E-20,0.302482287,6.35E-19,0.00364145
226,853.5064622,616.9515962,237.8493711,0.910099973,121658746.3,3766.207144,1198.888672,0.482518647,0.216959733,0.000987254,0.000324921,0.018967626,6.15E-07,6.54E-11,6.48E-15,0.276915656,1.00E-20,0.003325548
16,898.6642322,681.5955154,338.9492003,0.965602158,143251301,4090.986512,1198.868531,0.509634933,0.220950965,0.003195289,0.001014037,0.00703479,8.00E-08,2.99E-12,1.04E-16,0.255108235,1.00E-20,0.003061671
772,795.2967379,882.0596795,232.2561651,0.964442073,102406108.3,3672.481627,1195.868991,0.484287314,0.217666677,0.002806475,0.000930997,0.007168967,8.58E-08,3.38E-12,1.24E-16,0.283729223,1.00E-20,0.00341026
1055,757.9657614,603.7798066,302.5525996,0.995268218,112591221.8,3674.368374,1195.437567,0.477675754,0.207594667,0.020430364,0.006561049,0.000908746,1.39E-09,7.04E-15,3.31E-20,0.283420993,1.78E-19,0.003408426
593,830.4286235,819.7335657,215.5248499,0.909052656,104136777.2,3675.416705,1193.754627,0.476356247,0.216066107,0.001034522,0.000348366,0.019130939,6.13E-07,6.47E-11,6.36E-15,0.283655579,1.00E-20,0.003407627
523,748.1796684,732.566801,207.8486838,0.980741002,99538861.65,3529.53404,1193.265898,0.475240427,0.215445389,0.005204385,0.00175398,0.003800781,2.42E-08,5.07E-13,9.89E-18,0.295006777,1.07E-20,0.003548236
416,781.39505,737.8254115,338.2880704,0.995289975,113526334.9,3781.714815,1192.975054,0.483536576,0.207405224,0.022261123,0.007104232,0.000906057,1.35E-09,6.61E-15,3.02E-20,0.27547504,1.86E-19,0.003311747
145,738.8018789,624.9159624,310.754423,0.996300919,106365702.2,3625.440204,1192.26659,0.470601384,0.203280429,0.026323885,0.008476719,0.000701797,8.27E-10,3.21E-15,1.16E-20,0.28716141,2.67E-19,0.003454375
978,856.3480186,807.2764172,343.1078951,0.986091406,128223654.3,4000.868344,1191.66118,0.504174718,0.217507099,0.008872511,0.002858304,0.002771596,1.20E-08,1.71E-13,2.28E-18,0.260685232,2.58E-20,0.00313053
957,736.9871477,864.0832113,221.8398743,0.989074095,91708682.4,3521.066788,1191.556335,0.473191273,0.212941614,0.009367232,0.003148708,0.002129089,7.53E-09,8.80E-14,9.57E-19,0.295665336,3.25E-20,0.003556741
455,733.3287012,800.4967843,347.9658235,0.997289087,97980614.24,3647.265935,1191.53531,0.466493147,0.198009444,0.035030137,0.01110712,0.000507455,4.34E-10,1.23E-15,1.00E-20,0.285418998,4.67E-19,0.003433699
85,703.98546,842.6751851,253.1717611,0.99573491,85612998.06,3460.680593,1189.660617,0.460964449,0.203762936,0.022654443,0.007519799,0.000807758,1.10E-09,4.95E-15,2.07E-20,0.300671898,1.85E-19,0.003618717
